Title,Directors,Year
"Shame",Ingmar Bergman,1968
"the Fog",John Carpenter,1980
"the Devil Inside",William Brent Bell,2012
"Arrival of a Train","Auguste Lumiere, Louis Lumiere",1896
"Melancholia",Lars von Trier,2011
"Friday the 13th, Part 7: the New Blood",John Carl Buechler,1988
"Paranormal Activity 2",Tod Williams,2010
"A Fistful of Dollars",Sergio Leone,1964
"Drew Peterson: Untouchable",,2012
"For a Few Dollars More",Sergio Leone,1965
"Sexting in Suburbia",John Stimpson,2012
"the Good, the Bad, and the Ugly",Sergio Leone,1966
"the Ides of March",George Clooney,2011
"the Happening",M. Night Shyamalan,2008
"Volcano",Mick Jackson,1997
"Candyman",Bernard Rose,1992
"A Nightmare on Elm Street",Wes Craven,1984
"A Nightmare on Elm Street Part 2: Freddy’s Revenge",Jack Sholder,1985
"Record Player: Christian Marclay",Luc Peter,2000
"Telephone",Christian Marclay,1995
"Triple Dog",Pascal Franchot,2010
"Annie Hall",Woody Allen,1977
"Art & Copy",Doug Pray,2009
"Blue-Eyed Butcher",Stephen Kay,2012
"Red Desert",Michelangelo Antonioni,1964
"Week-end",Jean-Luc Godard,1967
"the Hunger Games",Gary Ross,2012
"the War Room","Chris Hegedus, D.A. Pennebaker",1993
"the Warped Ones",Koreyoshi Kurahara,1960
"Intimidation",Koreyoshi Kurahara,1960
"Adopting Terror",Micho Rutare,2012
"Black Sun",Koreyoshi Kurahara,1963
"Terror in the Family",Gregory Goodell,1996
"the Wife He Met Online",Curtis Crawford,2011
"the Passenger",Michelangelo Antonioni,1975
"the Wild One",Laszlo Benedek,1953
"Carlos",Oliver Assayas,2010
"the Sandlot",David M. Evans,1993
"Cruel Gun Story",Takumi Furukawa,1964
"Branded to Kill",Seijun Suzuki,1967
"Drive",Nicolas Winding Refn,2011
"Fighting the Odds: the Marilyn Gambrell Story",Andy Wolk,2005
"Knut and Friends",Michael G. Johnson,2008
"P.U.N.K.S.",Sean McNamara,1999
"For All Mankind",Al Reinert,1989
"Grizzly Man",Werner Herzog,2005
"Fidel: the Untold Story",Estela Bravo,2001
"Prometheus",Ridley Scott,2012
"the Grim Reaper",Joe D'Amato,1981
"Nightmare",Romano Scavolini,1981
"Beyond the Door II",Mario Bava,1977
"Screamers",Sergio Martino,1979
"City of the Walking Dead",Umberto Lenzi,1980
"GLOW: the Story of the Gorgeous Ladies of Wrestling",Brett Whitcomb,2012
"Summer With Monika",Ingmar Bergman,1953
"the Secret",Vincent Perez,2007
"Comandante",Oliver Stone,2003
"Goodfellas",Martin Scorsese,1990
"Daisies","Věra Chytilová",1966
"a Day in the Country",Jean Renoir,1946
"the Dark Knight Rises",Christopher Nolan,2012
"Safe",Todd Haynes,1995
"Dogtooth",Giorgos Lanthimos,2009
"the Blob",Irvin Yeaworth,1958
"the Turin Horse",Béla Tarr,2011
"the Tree of Life",Terrence Malick,2011
"These Amazing Shadows","Paul Mariano, Kurt Norton",2011
"the Shining",Stanley Kubrick,1980
"the Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Judith Ehrlich, Rick Goldsmith",2009
"Film",Alan Schneider,1965
"Clueless",Amy Heckerling,1995
"Wet Hot American Summer",David Wain,2001
"Blood Bath","Jack Hill, Stephanie Rothman",1966
"Black Sunday",Mario Bava,1960
"Them","David Moreau, Xavier Palud",2006
"the Burning",Tony Maylam,1981
"Black Sabbath","Mario Bava, Salvatore Billitteri",1963
"Evil Dead II",Sam Raimi,1987
"a Bay of Blood",Mario Bava,1971
"Snuff","Michael Findlay, Horacio Fredriksson, Simon Nuchtern",1976
"Lake Mungo",Joel Anderson,2010
"the Cabin in the Woods",Drew Goddard,2012
"the Devil Within Her",Peter Sasdy,1975
"Session 9",Brad Anderson,2001
"Insidious",James Wan,2011
"Nosferatu",F.W. Murnau,1922
"Resurrect Dead: the Mystery of the Toynbee Tiles",Jon Foy,2011
"Blood Feast",Herschell Gordon Lewis,1963
"Return to Horror High",Bill Froehlich,1987
"Army of Darkness",Sam Raimi,1992
"Sorority House Massacre",Carol Frank,1986
"Friday the 13th",Sean S. Cunningham,1980
"Friday the 13th Part II",Steve Miner,1981
"Friday the 13th Part III",Steve Miner,1982
"Friday the 13th: the Final Chapter",Joseph Zito,1984
"Friday the 13th: a New Beginning",Danny Steinmann,1985
"Friday the 13th Part VI: Jason Lives",Tom McLoughlin,1986
"Friday the 13th Part VII: the New Blood",John Carl Beuchler,1988
"Friday the 13th Part VIII: Jason Takes Manhattan",Rob Hedden,1989
"the Caller",Matthew Parkhill,2011
"House",Nobuhiko Obayashi,1977
"the Stuff",Larry Cohen,1985
"L'Avventura",Michelangelo Antonioni,1960
"the Oregonian ",Calvin Reeder,2011
"the Comedians of Comedy",Michael Blieden,2005
"Pearl Jam Twenty",Cameron Crowe,2011
"American Grindhouse",Elijah Drenner,2010
"Jiro Dreams of Sushi",David Geib,2011
"Freedom on My Mind","Connie Field, Marilyn Mulford",1994
"the Weather Underground","Sam Green, Bill Siegel",2002
"the Battle of Algiers",Gillo Pontecorvo,1966
"Code Unknown",Michael Haneke,2000
"the Flavor of Green Tea Over Rice",Yasujiro Ozu,1952
"Film Socialisme",Jean-Luc Godard,2010
"the Maltese Falcon",John Huston,1941
"Sassy Pants",Coley Sohn,2012
