Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-01-25,Punch-Drunk Love,2002,https://letterboxd.com/malantonio/film/punch-drunk-love/,3.5,Yes,"dvd-rip, digital",2018-01-24
2018-01-30,Slacker,1990,https://letterboxd.com/malantonio/film/slacker/,4.5,Yes,"dvd, dvd-rip",2018-01-29
2018-02-04,Boogie Nights,1997,https://letterboxd.com/malantonio/film/boogie-nights/,4.5,Yes,"dvd, dvd-rip",2018-02-03
2018-02-04,It,2017,https://letterboxd.com/malantonio/film/it-2017/1/,3,Yes,blu-ray,2018-02-03
2018-02-09,The Conjuring,2013,https://letterboxd.com/malantonio/film/the-conjuring/,2.5,Yes,"streaming, netflix",2018-02-08
2018-02-10,Tank,1984,https://letterboxd.com/malantonio/film/tank-1984/,2.5,,"streaming, google play",2018-02-09
2018-02-11,Call Me by Your Name,2017,https://letterboxd.com/malantonio/film/call-me-by-your-name/,3,,"theater, digital",2018-02-10
2018-02-12,What We Do in the Shadows,2014,https://letterboxd.com/malantonio/film/what-we-do-in-the-shadows/,4,,"streaming, amazon prime",2018-02-11
2018-02-12,American Movie,1999,https://letterboxd.com/malantonio/film/american-movie/,4,Yes,"streaming, amazon",2018-02-11
2018-02-25,The Conjuring 2,2016,https://letterboxd.com/malantonio/film/the-conjuring-2/,2,,"streaming, hbo",2018-02-24
2018-02-26,The Blackcoat's Daughter,2015,https://letterboxd.com/malantonio/film/the-blackcoats-daughter/,4,,"streaming, amazon prime",2018-02-25
2018-02-26,Alien: Covenant,2017,https://letterboxd.com/malantonio/film/alien-covenant/,2,,"streaming, amazon prime",2018-02-25
2018-02-27,Annihilation,2018,https://letterboxd.com/malantonio/film/annihilation/,3,,"digital, theater",2018-02-26
2018-03-01,Annihilation,2018,https://letterboxd.com/malantonio/film/annihilation/1/,3.5,Yes,"digital, theater",2018-02-28
2018-03-03,Ouija: Origin of Evil,2016,https://letterboxd.com/malantonio/film/ouija-origin-of-evil/,2.5,,"hbo, streaming",2018-03-02
2018-03-04,The Exorcist,1973,https://letterboxd.com/malantonio/film/the-exorcist/,4,Yes,dvd-rip,2018-03-03
2018-03-04,Vampire Hunter D,1985,https://letterboxd.com/malantonio/film/vampire-hunter-d/,2,,"theater, dvd",2018-03-03
2018-03-07,Gun Crazy,1950,https://letterboxd.com/malantonio/film/gun-crazy/,3.5,Yes,"streaming, google play",2018-03-06
2018-03-08,The Blackcoat's Daughter,2015,https://letterboxd.com/malantonio/film/the-blackcoats-daughter/1/,4,Yes,"streaming, digital",2018-03-07
2018-03-08,Sunset Boulevard,1950,https://letterboxd.com/malantonio/film/sunset-boulevard/,4,,"streaming, netflix",2018-03-07
2018-03-09,Jodi Arias: Dirty Little Secret,2013,https://letterboxd.com/malantonio/film/jodi-arias-dirty-little-secret/1/,2.5,Yes,"streaming, lifetime movie club",2018-03-08
2018-03-12,The Public Enemy,1931,https://letterboxd.com/malantonio/film/the-public-enemy/,3,,dvd,2018-03-11
2018-03-12,Hounds of Love,2016,https://letterboxd.com/malantonio/film/hounds-of-love/,3,,"streaming, hulu",2018-03-11
2018-03-15,The Strangers: Prey at Night,2018,https://letterboxd.com/malantonio/film/the-strangers-prey-at-night/,3,,theater,2018-03-14
2018-03-18,Them,2006,https://letterboxd.com/malantonio/film/them-2006/,2.5,Yes,"streaming, amazon prime",2018-03-17
2018-03-18,The Fugitive,1993,https://letterboxd.com/malantonio/film/the-fugitive-1993/,5,Yes,blu-ray,2018-03-17
2018-03-18,Green Room,2015,https://letterboxd.com/malantonio/film/green-room/,3.5,,"streaming, amazon prime",2018-03-17
2018-03-19,Falling Down,1993,https://letterboxd.com/malantonio/film/falling-down/,2.5,,vhs,2018-03-18
2018-03-19,Die Hard: With a Vengeance,1995,https://letterboxd.com/malantonio/film/die-hard-with-a-vengeance/,3,Yes,"streaming, hbo",2018-03-18
2018-03-21,Beware the Slenderman,2016,https://letterboxd.com/malantonio/film/beware-the-slenderman/,3,,"hbo, streaming",2018-03-20
2018-03-21,Gun Fight,2011,https://letterboxd.com/malantonio/film/gun-fight/,3,,"streaming, hbo",2018-03-20
2018-03-22,The Dark Knight,2008,https://letterboxd.com/malantonio/film/the-dark-knight/1/,3.5,Yes,"streaming, google play",2018-03-21
2018-03-24,Diabolique,1955,https://letterboxd.com/malantonio/film/diabolique-1955/,4.5,Yes,"streaming, amazon prime",2018-03-23
