Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-01-02,Duck Soup,1933,https://letterboxd.com/aghoulaghast/film/duck-soup-1933/,3,,"35mm, brattle theater, theater",2019-01-01
2019-01-02,Room Service,1938,https://letterboxd.com/aghoulaghast/film/room-service/,3.5,,"35mm, brattle theater, theater",2019-01-01
2019-01-02,Monkey Business,1931,https://letterboxd.com/aghoulaghast/film/monkey-business/,3.5,,"35mm, brattle theater, theater",2019-01-01
2019-01-02,A Night at the Opera,1935,https://letterboxd.com/aghoulaghast/film/a-night-at-the-opera/,5,,"35mm, brattle theater, theater",2019-01-01
2019-01-03,First Reformed,2017,https://letterboxd.com/aghoulaghast/film/first-reformed/,5,,"streaming, amazon prime",2019-01-02
2019-01-03,Diary of a Nudist,1961,https://letterboxd.com/aghoulaghast/film/diary-of-a-nudist/,3,,"streaming, amazon prime, something weird",2019-01-02
2019-01-05,The Strangers,2008,https://letterboxd.com/aghoulaghast/film/the-strangers/,3.5,Yes,"dvd, us theatrical cut, with-lauren",2019-01-04
2019-01-06,The House That Jack Built,2018,https://letterboxd.com/aghoulaghast/film/the-house-that-jack-built-2018/,4,,download,2019-01-05
2019-01-07,Fahrenheit 11/9,2018,https://letterboxd.com/aghoulaghast/film/fahrenheit-11-9/,3.5,,download,2019-01-06
2019-01-07,Terror In Beverly Hills,1989,https://letterboxd.com/aghoulaghast/film/terror-in-beverly-hills/,2.5,,"streaming, amazon prime",2019-01-06
2019-01-07,Thoroughbreds,2017,https://letterboxd.com/aghoulaghast/film/thoroughbreds-2017/,4,,"download, with-lauren",2019-01-06
2019-01-09,Deadly Prey,1987,https://letterboxd.com/aghoulaghast/film/deadly-prey/,3,,"streaming, amazon prime",2019-01-08
2019-01-11,Exorcist II: The Heretic,1977,https://letterboxd.com/aghoulaghast/film/exorcist-ii-the-heretic/,3,,download,2019-01-10
2019-01-11,Hollywood Cop,1987,https://letterboxd.com/aghoulaghast/film/hollywood-cop/,3,,"streaming, amazon prime",2019-01-10
2019-01-12,The Messenger,1986,https://letterboxd.com/aghoulaghast/film/the-messenger-1986/,3,,"streaming, amazon prime",2019-01-11
2019-01-13,Couch,2003,https://letterboxd.com/aghoulaghast/film/couch/,3,,"streaming, youtube",2019-01-12
2019-01-13,The Favourite,2018,https://letterboxd.com/aghoulaghast/film/the-favourite/,5,,"digital, theater, amc",2019-01-12
2019-01-13,The Fugitive,1993,https://letterboxd.com/aghoulaghast/film/the-fugitive-1993/1/,4.5,Yes,"blu-ray, with-lauren",2019-01-12
2019-01-13,The Last Vampire On Earth,2010,https://letterboxd.com/aghoulaghast/film/the-last-vampire-on-earth/,1.5,,"streaming, amazon prime, with-lauren",2019-01-12
2019-01-14,Perfect Bid: The Contestant Who Knew Too Much,2017,https://letterboxd.com/aghoulaghast/film/perfect-bid-the-contestant-who-knew-too-much/,3,,"streaming, amazon prime",2019-01-13
2019-01-15,Destroyer,2018,https://letterboxd.com/aghoulaghast/film/destroyer-2018/,4,,"theater, digital, amc",2019-01-14
2019-01-16,The Turin Horse,2011,https://letterboxd.com/aghoulaghast/film/the-turin-horse/,5,Yes,download,2019-01-15
2019-01-17,Psychophobia,1982,https://letterboxd.com/aghoulaghast/film/psychophobia/,2.5,,"streaming, amazon prime",2019-01-16
2019-01-18,Death Promise,1977,https://letterboxd.com/aghoulaghast/film/death-promise/,4,,"streaming, amazon prime",2019-01-17
2019-01-20,Hostel,2005,https://letterboxd.com/aghoulaghast/film/hostel/,2,Yes,"streaming, amazon prime",2019-01-19
2019-01-20,Cam,2018,https://letterboxd.com/aghoulaghast/film/cam/1/,3.5,Yes,"streaming, netflix, with-lauren",2019-01-20
2019-01-21,The Lobster,2015,https://letterboxd.com/aghoulaghast/film/the-lobster/,4,,"streaming, netflix",2019-01-20
2019-01-21,We Need to Talk About Kevin,2011,https://letterboxd.com/aghoulaghast/film/we-need-to-talk-about-kevin/,4,,"streaming, kanopy",2019-01-20
2019-01-22,Cobra,1986,https://letterboxd.com/aghoulaghast/film/cobra-1986/2/,4,Yes,"download, with-lauren",2019-01-21
2019-01-23,The Terminator,1984,https://letterboxd.com/aghoulaghast/film/the-terminator/,3.5,Yes,"download, with-lauren",2019-01-22
2019-01-29,Terminator 2: Judgment Day,1991,https://letterboxd.com/aghoulaghast/film/terminator-2-judgment-day/,4,Yes,"dvd-rip, with-lauren",2019-01-28
2019-01-30,Last Girl Standing,2015,https://letterboxd.com/aghoulaghast/film/last-girl-standing/,3.5,,"streaming, shudder",2019-01-29
2019-02-02,My Name Is Sarah,2007,https://letterboxd.com/aghoulaghast/film/my-name-is-sarah/1/,4.5,Yes,"download, with-lauren",2019-01-31
2019-02-02,Fireback,1983,https://letterboxd.com/aghoulaghast/film/fireback/,3,,"streaming, amazon prime",2019-02-01
2019-02-03,Cape Fear,1991,https://letterboxd.com/aghoulaghast/film/cape-fear-1991/,3,,"streaming, netflix",2019-02-02
2019-02-03,The Dead Zone,1983,https://letterboxd.com/aghoulaghast/film/the-dead-zone/,3.5,Yes,"streaming, amazon prime",2019-02-02
2019-02-05,The Violent Years,1956,https://letterboxd.com/aghoulaghast/film/the-violent-years/,4,,"blu-ray, something weird",2019-02-04
2019-02-07,Bad Girls Go to Hell,1965,https://letterboxd.com/aghoulaghast/film/bad-girls-go-to-hell/,3.5,,"dvd, something weird",2019-02-06
2019-02-08,The Prodigy,2019,https://letterboxd.com/aghoulaghast/film/the-prodigy-2019/,3,,"digital, theater, amc",2019-02-07
2019-02-09,Shocking Dark,1989,https://letterboxd.com/aghoulaghast/film/shocking-dark/,2.5,,blu-ray,2019-02-08
