Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-04-17,Hesher,2010,https://letterboxd.com/malantonio/film/hesher/,3.5,"streaming, showtime",2017-04-16
2017-04-19,Chopping Mall,1986,https://letterboxd.com/malantonio/film/chopping-mall/,3,"streaming, amazon",2017-04-18
2017-04-21,Ransom,1996,https://letterboxd.com/malantonio/film/ransom/,4,vhs,2017-04-20
2017-04-23,"The Death of ""Superman Lives"": What Happened?",2015,https://letterboxd.com/malantonio/film/the-death-of-superman-lives-what-happened/,3.5,"streaming, cinemax",2017-04-22
2017-04-29,Interstellar,2014,https://letterboxd.com/malantonio/film/interstellar/1/,4,"Hulu, streaming",2017-04-29
2017-05-13,Dark Night,2016,https://letterboxd.com/malantonio/film/dark-night/,3.5,"google play, streaming, digital",2017-05-12
2017-05-13,Hello Mary Lou: Prom Night II,1987,https://letterboxd.com/malantonio/film/hello-mary-lou-prom-night-ii/,3.5,"35mm, theater, colonial theatre",2017-05-13
2017-05-15,Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/malantonio/film/twin-peaks-fire-walk-with-me/,4,"digital, download, fan edit",2017-05-14
2017-05-15,Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/malantonio/film/twin-peaks-fire-walk-with-me/1/,4,dvd,2017-05-14
2017-05-17,Darling,2015,https://letterboxd.com/malantonio/film/darling-2015-1/,4,"streaming, netflix, digital",2017-05-16
2017-05-19,Pod,2015,https://letterboxd.com/malantonio/film/pod/,3,"netflix, streaming, digital",2017-05-18
2017-05-27,Night of the Comet,1984,https://letterboxd.com/malantonio/film/night-of-the-comet/,3,"35mm, drive-in",2017-05-26
2017-05-28,The Evil Dead,1981,https://letterboxd.com/malantonio/film/the-evil-dead/,4.5,"35mm, drive-in",2017-05-27
2017-05-28,Evil Dead II,1987,https://letterboxd.com/malantonio/film/evil-dead-ii/,4,"35mm, drive-in",2017-05-27
2017-05-29,Raiders of the Living Dead,1986,https://letterboxd.com/malantonio/film/raiders-of-the-living-dead/,1.5,"35mm, drive-in",2017-05-28
2017-05-30,Creepshow,1982,https://letterboxd.com/malantonio/film/creepshow/1/,3.5,"35mm, drive-in",2017-05-28
2017-05-31,Snake Eyes,1998,https://letterboxd.com/malantonio/film/snake-eyes/,3.5,"streaming, digital, netflix",2017-05-30
2017-05-31,De Palma,2015,https://letterboxd.com/malantonio/film/de-palma/,3,"streaming, digital, netflix",2017-05-30
2017-06-02,The Fate of the Furious,2017,https://letterboxd.com/malantonio/film/the-fate-of-the-furious/,3,"digital, theater",2017-06-01
2017-06-03,Pet Sematary,1989,https://letterboxd.com/malantonio/film/pet-sematary/,3.5,"digital, colonial theatre, theater",2017-06-02
2017-06-03,Beneath the Skin,1981,https://letterboxd.com/malantonio/film/beneath-the-skin-1981/,4,"digital, video art",2017-06-02
2017-06-03,Possibly in Michigan,1983,https://letterboxd.com/malantonio/film/possibly-in-michigan/,4,"digital, theater, video art",2017-06-02
2017-06-03,Annie Lloyd,2008,https://letterboxd.com/malantonio/film/annie-lloyd/,4,"digital, video art, theater",2017-06-02
2017-06-03,Pulling Up Roots,2015,https://letterboxd.com/malantonio/film/pulling-up-roots/,3.5,"digital, theater, video art",2017-06-02
2017-06-03,Some Dark Place,2016,https://letterboxd.com/malantonio/film/some-dark-place/,3.5,"digital, theater, video art",2017-06-02
2017-06-04,A Clockwork Orange,1971,https://letterboxd.com/malantonio/film/a-clockwork-orange/,4,blu-ray,2017-06-03
2017-06-04,Deathgasm,2015,https://letterboxd.com/malantonio/film/deathgasm/,3.5,"streaming, netflix",2017-06-03
2017-06-05,Cliffhanger,1993,https://letterboxd.com/malantonio/film/cliffhanger/,3,"streaming, google play, digital",2017-06-04
2017-06-06,Dumb: The Story of Big Brother Magazine,2017,https://letterboxd.com/malantonio/film/dumb-the-story-of-big-brother-magazine/,3.5,"hulu, streaming, digital",2017-06-05
2017-06-07,The Void,2016,https://letterboxd.com/malantonio/film/the-void-2016/,3.5,"streaming, amazon",2017-06-07
2017-06-08,Escape from New York,1981,https://letterboxd.com/malantonio/film/escape-from-new-york/,3.5,vhs,2017-06-07
2017-06-09,Christine,2016,https://letterboxd.com/malantonio/film/christine-2016/,4.5,"netflix, streaming, digital",2017-06-08
2017-06-13,They Look Like People,2015,https://letterboxd.com/malantonio/film/they-look-like-people/,3.5,"netflix, streaming",2017-06-12
2017-06-24,Night of the Lepus,1972,https://letterboxd.com/malantonio/film/night-of-the-lepus/,3.5,"35mm, drive-in, theater",2017-06-24
2017-06-25,Carnival of Souls,1962,https://letterboxd.com/malantonio/film/carnival-of-souls/,3.5,dvd,2017-06-24
2017-06-25,Squirm,1976,https://letterboxd.com/malantonio/film/squirm/,3,"35mm, drive-in",2017-06-24
2017-06-26,Don't Think Twice,2016,https://letterboxd.com/malantonio/film/dont-think-twice/,4,"streaming, netflix",2017-06-25
2017-06-26,Oklahoma City,2017,https://letterboxd.com/malantonio/film/oklahoma-city/,3,"netflix, streaming",2017-06-25
2017-07-01,The Purge,2013,https://letterboxd.com/malantonio/film/the-purge/,2,"google play, rental, streaming",2017-06-30
2017-07-01,Speed,1994,https://letterboxd.com/malantonio/film/speed/,3.5,"streaming, hbo",2017-06-30
2017-07-05,Dawn of the Planet of the Apes,2014,https://letterboxd.com/malantonio/film/dawn-of-the-planet-of-the-apes/,3,"google play, streaming, digital",2017-07-04
2017-07-07,The Texas Chain Saw Massacre,1974,https://letterboxd.com/malantonio/film/the-texas-chain-saw-massacre/3/,5,"streaming, amazon",2017-07-06
2017-07-08,Video Violence,1987,https://letterboxd.com/malantonio/film/video-violence/,3.5,"vhs, drive-in",2017-07-07
2017-07-08,Video Violence 2,1987,https://letterboxd.com/malantonio/film/video-violence-2/,3.5,"vhs, drive-in",2017-07-07
2017-07-08,Cannibal Campout,1988,https://letterboxd.com/malantonio/film/cannibal-campout/,3,"vhs, drive-in",2017-07-08
2017-07-09,Nobody Speak: Trials of the Free Press,2017,https://letterboxd.com/malantonio/film/nobody-speak-trials-of-the-free-press/,3,"netflix, streaming",2017-07-08
2017-07-09,Slime City,1988,https://letterboxd.com/malantonio/film/slime-city/,3.5,"vhs, drive-in",2017-07-08
2017-07-09,The Abomination,1986,https://letterboxd.com/malantonio/film/the-abomination/,2.5,"vhs, drive-in",2017-07-08
2017-07-09,Faces of Death,1978,https://letterboxd.com/malantonio/film/faces-of-death/,3,"vhs, drive-in",2017-07-09
2017-07-10,Get Me Roger Stone,2017,https://letterboxd.com/malantonio/film/get-me-roger-stone/,3,"streaming, netflix",2017-07-09
2017-07-14,Invaders from Mars,1986,https://letterboxd.com/malantonio/film/invaders-from-mars-1986/,3,"streaming, tubitv",2017-07-13
2017-07-16,The Big Sick,2017,https://letterboxd.com/malantonio/film/the-big-sick/,4,"theater, digital",2017-07-15
2017-07-17,Friday the 13th Part III,1982,https://letterboxd.com/malantonio/film/friday-the-13th-part-iii/3/,3.5,"35mm, theater, 3d, exhumed films",2017-07-16
2017-07-17,Treasure of the Four Crowns,1983,https://letterboxd.com/malantonio/film/treasure-of-the-four-crowns/,4,"35mm, 3d, theater, exhumed films",2017-07-16
2017-07-17,Dogs of Hell,1982,https://letterboxd.com/malantonio/film/dogs-of-hell/,2.5,"3d, 35mm, theater, exhu",2017-07-16
2017-07-17,Hit the Road Running,1983,https://letterboxd.com/malantonio/film/hit-the-road-running/,3.5,"35mm, 3d, theater, exhumed films",2017-07-16
2017-07-17,13 Nuns,1982,https://letterboxd.com/malantonio/film/13-nuns/,4,"35mm, 3d, theater, exhumed films",2017-07-16
2017-07-19,The Last House on the Left,1972,https://letterboxd.com/malantonio/film/the-last-house-on-the-left/,2.5,dvd,2017-07-18
2017-07-20,Desistfilm,1954,https://letterboxd.com/malantonio/film/desistfilm/,3.5,blu-ray,2017-07-19
2017-07-20,The Dante Quartet,1987,https://letterboxd.com/malantonio/film/the-dante-quartet/,4,blu-ray,2017-07-19
2017-07-20,Night Music,1986,https://letterboxd.com/malantonio/film/night-music/,4,,2017-07-19
2017-07-20,Rage Net,1988,https://letterboxd.com/malantonio/film/rage-net/,3.5,blu-ray,2017-07-19
2017-07-20,Glaze of Cathexis,1990,https://letterboxd.com/malantonio/film/glaze-of-cathexis/,4,blu-ray,2017-07-19
2017-07-20,Comingled Containers,1997,https://letterboxd.com/malantonio/film/comingled-containers/,4.5,blu-ray,2017-07-19
2017-07-23,Unconscious London Strata,1981,https://letterboxd.com/malantonio/film/unconscious-london-strata/,3.5,blu-ray,2017-07-22
2017-07-25,Unearthed & Untold: The Path to Pet Sematary,2017,https://letterboxd.com/malantonio/film/unearthed-untold-the-path-to-pet-sematary/,2.5,"streaming, amazon",2017-07-24
2017-07-27,Stephen King's It,1990,https://letterboxd.com/malantonio/film/stephen-kings-it/,3,vhs,2017-07-26
2017-07-29,Frankenstein Meets the Spacemonster,1965,https://letterboxd.com/malantonio/film/frankenstein-meets-the-spacemonster/,4,"35mm, drive-in, exhumed films",2017-07-28
2017-07-29,The Monster of Piedras Blancas,1959,https://letterboxd.com/malantonio/film/the-monster-of-piedras-blancas/,3.5,"35mm, drive-in, exhumed films",2017-07-29
2017-07-30,Blood Feast,1963,https://letterboxd.com/malantonio/film/blood-feast/,4,"streaming, shudder",2017-07-29
2017-07-30,The Sadist,1963,https://letterboxd.com/malantonio/film/the-sadist/,4,"35mm, drive-in, exhumed films",2017-07-29
2017-07-30,Spider Baby,1967,https://letterboxd.com/malantonio/film/spider-baby/,3,"35mm, drive-in, exhumed films",2017-07-29
2017-08-02,I Called Him Morgan,2016,https://letterboxd.com/malantonio/film/i-called-him-morgan/,4,"streaming, netflix",2017-08-01
2017-08-04,American Anarchist,2016,https://letterboxd.com/malantonio/film/american-anarchist/,4,"streaming, netflix",2017-08-03
2017-08-12,13 Cameras,2015,https://letterboxd.com/malantonio/film/13-cameras/,2,"streaming, netflix",2017-08-11
2017-08-21,In the Mirror of Maya Deren,2002,https://letterboxd.com/malantonio/film/in-the-mirror-of-maya-deren/,4,"streaming, amazon",2017-08-20
2017-08-21,The Founder,2016,https://letterboxd.com/malantonio/film/the-founder/,4,"netflix, streaming",2017-08-20
2017-08-24,S Is for Stanley,2016,https://letterboxd.com/malantonio/film/s-is-for-stanley/,4,"netflix, streaming",2017-08-23
2017-08-25,Birth of the Living Dead,2013,https://letterboxd.com/malantonio/film/birth-of-the-living-dead/,3,"streaming, amazon",2017-08-24
2017-08-28,Friday the 13th,1980,https://letterboxd.com/malantonio/film/friday-the-13th/2/,4,"35mm, drive-in",2017-08-25
2017-08-28,Friday the 13th Part VIII: Jason Takes Manhattan,1989,https://letterboxd.com/malantonio/film/friday-the-13th-part-viii-jason-takes-manhattan/,2.5,"35mm, drive-in",2017-08-25
2017-09-01,Society,1989,https://letterboxd.com/malantonio/film/society/,3,"streaming, shudder",2017-08-31
2017-09-02,Suspiria,1977,https://letterboxd.com/malantonio/film/suspiria/,4,"streaming, shudder",2017-09-01
2017-09-03,The Bird with the Crystal Plumage,1970,https://letterboxd.com/malantonio/film/the-bird-with-the-crystal-plumage/,3.5,"35mm, theater, colonial theatre",2017-09-02
2017-09-03,The Other Hell,1981,https://letterboxd.com/malantonio/film/the-other-hell/,3.5,"35mm, theater, colonial theatre",2017-09-02
2017-09-03,Demons,1985,https://letterboxd.com/malantonio/film/demons/,3.5,"35mm, theater, colonial theatre",2017-09-02
2017-09-03,Blood and Black Lace,1964,https://letterboxd.com/malantonio/film/blood-and-black-lace/,3,"35mm, theater, colonial theatre",2017-09-02
2017-09-03,Tenebre,1982,https://letterboxd.com/malantonio/film/tenebre/,3.5,"35mm, theater, colonial theatre",2017-09-02
2017-09-04,Henry: Portrait of a Serial Killer,1986,https://letterboxd.com/malantonio/film/henry-portrait-of-a-serial-killer/,3.5,"streaming, shudder",2017-09-03
2017-09-11,It,2017,https://letterboxd.com/malantonio/film/it-2017/,3.5,"digital, theater",2017-09-10
2017-09-16,Funny Games,2007,https://letterboxd.com/malantonio/film/funny-games-2007/,3.5,"streaming, netflix",2017-09-15
2017-09-16,The Death King,1990,https://letterboxd.com/malantonio/film/the-death-king/,2,"streaming, shudder",2017-09-15
2017-09-17,Blade Runner,1982,https://letterboxd.com/malantonio/film/blade-runner/1/,4,blu-ray,2017-09-16
2017-09-18,Point Break,1991,https://letterboxd.com/malantonio/film/point-break/,3,"streaming, google play",2017-09-17
2017-09-19,Dirty Work,1998,https://letterboxd.com/malantonio/film/dirty-work-1998/,3.5,dvd,2017-09-17
2017-09-21,Foo Fighters: Back and Forth,2011,https://letterboxd.com/malantonio/film/foo-fighters-back-and-forth/,3.5,"streaming, netflix",2017-09-20
2017-09-24,WNUF Halloween Special,2013,https://letterboxd.com/malantonio/film/wnuf-halloween-special/,3.5,"streaming, shudder",2017-09-23
2017-09-28,It Comes at Night,2017,https://letterboxd.com/malantonio/film/it-comes-at-night/,4,"streaming, amazon",2017-09-27
2017-10-01,David Lynch: The Art Life,2016,https://letterboxd.com/malantonio/film/david-lynch-the-art-life/,4,"streaming, amazon",2017-09-30
2017-10-02,Night of the Living Dead,1968,https://letterboxd.com/malantonio/film/night-of-the-living-dead/,3.5,"streaming, amazon",2017-10-01
2017-10-02,Dawn of the Dead,1978,https://letterboxd.com/malantonio/film/dawn-of-the-dead/,4,vhs,2017-10-01
2017-10-02,The Mutilator,1984,https://letterboxd.com/malantonio/film/the-mutilator/,3,"streaming, amazon",2017-10-01
2017-10-02,Day of the Dead,1985,https://letterboxd.com/malantonio/film/day-of-the-dead/,3,"streaming, shudder",2017-10-01
2017-10-03,Train to Busan,2016,https://letterboxd.com/malantonio/film/train-to-busan/,4,"streaming, netflix",2017-10-02
2017-10-04,The Eyes of My Mother,2016,https://letterboxd.com/malantonio/film/the-eyes-of-my-mother/,4,"streaming, netflix",2017-10-03
2017-10-05,I Drink Your Blood,1970,https://letterboxd.com/malantonio/film/i-drink-your-blood/,3.5,"streaming, shudder",2017-10-04
2017-10-06,Creep,2014,https://letterboxd.com/malantonio/film/creep-2014/,4,"streaming, netflix",2017-10-05
2017-10-07,The Monster Squad,1987,https://letterboxd.com/malantonio/film/the-monster-squad/,2.5,"35mm, drive-in",2017-10-06
2017-10-07,Night of the Creeps,1986,https://letterboxd.com/malantonio/film/night-of-the-creeps/,4,"35mm, drive-in",2017-10-06
2017-10-09,The 3 Rs,2011,https://letterboxd.com/malantonio/film/the-3-rs/,3.5,"streaming, youtube",2017-10-08
2017-10-09,Raw,2016,https://letterboxd.com/malantonio/film/raw-2016/,4,"streaming, netflix",2017-10-08
2017-10-09,Take Shelter,2011,https://letterboxd.com/malantonio/film/take-shelter/,3.5,"streaming, shudder",2017-10-08
2017-10-10,Honeymoon,2014,https://letterboxd.com/malantonio/film/honeymoon-2014/,3.5,"streaming, netflix",2017-10-09
2017-10-12,Black Devil Doll from Hell,1984,https://letterboxd.com/malantonio/film/black-devil-doll-from-hell/,1,"streaming, shudder",2017-10-11
2017-10-13,Fright Night,1985,https://letterboxd.com/malantonio/film/fright-night/,3.5,"streaming, hulu",2017-10-12
2017-10-13,The Collector,2009,https://letterboxd.com/malantonio/film/the-collector-2009/,3,"streaming, hulu",2017-10-12
