Title,Directors,Year
"Cleanflix","Andrew James, Joshua Ligairi",2009
"Bill Cunningham New York",Richard Press,2010
"Vile",Taylor Sheridan,2011
"No Country for Old Men",Joel Coen,2007
"Django Unchained",Quentin Tarantino,2012
"the Craft",Andrew Flemming,1996
"Inglorious Basterds",Quentin Tarantino,2009
"Planet Terror",Robert Rodriguez,2007
"Death Proof",Quentin Tarantino,2007
"Elevator to the Gallows",Louis Malle,1958
"Muppet Treasure Island",Brian Henson,1996
"the Lost World: Jurassic Park",Stephen Spielberg,1997
"Angel",Robert Vincent O’Neill,1984
"Star Wars, Episode IV: a New Hope",George Lucas,1977
"Collateral Damage",Andrew Davis,2002
"Day of Wrath",Carl Th. Dreyer,1943
"High Plains Drifter ",Clint Eastwood,1973
"Quiet Cool",Clay Borris,1986
"Room 237",Rodney Ascher,2012
"the Master",Paul Thomas Anderson,2012
"the Fugitive",Andrew Davis,1993
"Citizen Ruth ",Alexander Payne,1996
"Return of the Jedi",Richard Marquand,1983
"Ghost World",Terry Zwigoff,2001
"Jurassic Park: 3D",Steven Spielberg,1993
"Side by Side",Chris Kenneally,2012
"Lincoln",Steven Spielberg,2012
"Blow Out",Brian de Palma,1981
"Teenage Mutant Ninja Turtles",Steve Barron,1990
"Back to the Future",Robert Zemeckis,1985
"Japanese Summer: Double Suicide",Nagisa Oshima,1967
"D.O.A.",Rudolph Maté,1950
"the Blair Witch Project","Daniel Myrick,Eduardo Sánchez",1999
"the Sandlot",David M. Evans,1993
"That Guy... Who Was In That Thing","Ian Roumain,Michael Schwartz",2012
"Cobra",George P. Cosmatos,1986
"the Road",John Hillcoat,2009
"the Fast and the Furious",Rob Cohen,2001
"2 Fast 2 Furious",John Singleton,2003
"the Fast and the Furious: Tokyo Drift",Justin Lin,2006
"Fast and Furious",Justin Lin,2009
"Fast Five",Justin Lin,2011
"Cop Land",James Mangold,1997
"Reservoir Dogs",Quentin Tarantino,1992
"the People vs. George Lucas",Alexandre O. Philippe,2010
"Sharknado",Anthony C. Ferrante,2013
"Moneyball",Bennett Miller,2011
"Manos: the Hands of Fate",Harold P. Warren,1966
"Inland Empire",David Lynch,2006
"Deep Red",Dario Argento,1975
"City of the Living Dead",Lucio Fulci,1980
"Killer Fish",Antonio Margheriti,1979
"Burial Ground",Andrea Bianchi,1981
"Women’s Prison Massacre",Bruno Mattei,1983
"Jaws",Steven Spielberg,1975
"Blue Velvet",David Lynch,1986
"the Faculty",Robert Rodriguez,1998
"the Innkeepers",Ti West,2011
"Silent House","Chris Kentis, Larua Lau",2011
"Evil Dead",Fede Alvarez,2013
"La Jetée",Chris Marker,1962
"We Steal Secrets: the Story of WikiLeaks",Alex Gibney,2013
"I Spit on Your Grave",Meir Zarchi,1978
"Halloween III: Season of the Witch",Tommy Lee Wallace,1982
"Monkey Shines",George A. Romero,1988
"Sleepaway Camp",Robert Hiltzik,1983
"the Big Doll House",Jack Hill,1971
"R.I.P.D.",Robert Schwentke,2013
"Event Horizon",Paul W.S. Anderson,1996
"In the Custody of Strangers",Robert Greenwald,1982
"Lock Up",John Flynn,1989
"J.F.K.",Oliver Stone,1991
"Rhinestone",Bob Clark,1984
"Repo Man",Alex Cox,1984
"Barbarella",Roger Vadim,1968
"La Chinoise",Jean-Luc Godard,1967
"Deuces Wild",Scott Kalvert,2002
"Nightmare in Columbia County",Royer Young,1991
"Pierrot le Fou",Jean-Luc Godard,1965
"To Die For",Gus Van Sant,1995
"Tout va Bien","Jean-Luc Godard, Jean-Pierre Gorin",1972
"Jingle All the Way",Brian Levant,1996
"Die Hard",John McTiernan,1988
"First Blood",Ted Kotcheff,1982
"British Sounds","Jean-Luc Godard, Jean-Henri Roger",1970
"the Christmas Shoes",Andy Wolk,2002
"I’ll Be Home For Christmas",Arlene Sanford,1998
"Primer",Shane Carruth,2004
"Prince Avalanche",David Gordon Green,2013
"American Splendor","Shari Springer Berman, Robert Pulcini",2003
"Crumb",Terri Zwigoff,1994

