Date,Name,Year,Letterboxd URI,Rating
2015-09-23,The Cowboy and the Frenchman,1988,https://letterboxd.com/film/the-cowboy-and-the-frenchman/,4
2015-09-23,Premonitions Following an Evil Deed,1995,https://letterboxd.com/film/premonitions-following-an-evil-deed/,4.5
2015-09-27,A Spell to Ward Off the Darkness,2013,https://letterboxd.com/film/a-spell-to-ward-off-the-darkness/,4
2015-09-28,Ungodly Acts,2015,https://letterboxd.com/film/ungodly-acts/,1.5
2015-10-02,Begotten,1990,https://letterboxd.com/film/begotten/,3.5
2015-10-03,Eaten Alive,1976,https://letterboxd.com/film/eaten-alive/,3
2015-10-06,The Others,2001,https://letterboxd.com/film/the-others/,3.5
2015-10-10,Halloween,1978,https://letterboxd.com/film/halloween-1978/,5
2015-10-10,Halloween II,1981,https://letterboxd.com/film/halloween-ii-1981/,3.5
2015-10-10,Secrets in the Walls,2010,https://letterboxd.com/film/secrets-in-the-walls/,3
2015-10-11,A Nightmare on Elm Street,1984,https://letterboxd.com/film/a-nightmare-on-elm-street/,3.5
2015-10-14,Halloween 4: The Return of Michael Myers,1988,https://letterboxd.com/film/halloween-4-the-return-of-michael-myers/,3.5
2015-10-16,Dante's Peak,1997,https://letterboxd.com/film/dantes-peak/,3.5
2015-10-17,When a Stranger Calls,1979,https://letterboxd.com/film/when-a-stranger-calls/,3.5
2015-10-20,The Return of the Living Dead,1985,https://letterboxd.com/film/the-return-of-the-living-dead/,3.5
2015-10-25,"As Above, So Below",2014,https://letterboxd.com/film/as-above-so-below-2014/,2.5
2015-10-31,House of 1000 Corpses,2003,https://letterboxd.com/film/house-of-1000-corpses/,2.5
2015-10-31,The Devil's Rejects,2005,https://letterboxd.com/film/the-devils-rejects/,3
2015-10-31,The Nightmare,2015,https://letterboxd.com/film/the-nightmare-2015/,4
2015-11-01,Friday the 13th Part 2,1981,https://letterboxd.com/film/friday-the-13th-part-2/,3.5
2015-11-02,Misery Loves Comedy,2015,https://letterboxd.com/film/misery-loves-comedy/,4
2015-11-14,Friday the 13th Part VI: Jason Lives,1986,https://letterboxd.com/film/friday-the-13th-part-vi-jason-lives/,3.5
2015-11-21,Goodnight Mommy,2014,https://letterboxd.com/film/goodnight-mommy/,4
2015-11-22,Blade Runner,1982,https://letterboxd.com/film/blade-runner/,4
2015-11-26,Pure Country,1992,https://letterboxd.com/film/pure-country/,2.5
